// ===== SPIRITS =====
#Spirits|Canadian Whisky|Liquor Store
Dewar's White Label|1.14L|44.75
Dewar's White Label|1.75L|67.75
Te Bheag|700ml|44.45
Grant's Triple Wood Blended|200ml|9.95
Grant's Triple Wood Blended|375ml|17.95
Grant's Triple Wood Blended|750ml|32.95
Grant's Triple Wood Blended|1.14L|44.95
The Glenlivet 12 Year Single Malt|750ml|77.95
The Glenlivet 12 Year Single Malt|1.14L|120.15
The Glenlivet 14 Year Single Malt|750ml|105.15
The Glenlivet 18 Year Single Malt|750ml|215.15
The Glenlivet Caribbean Reserve Single Malt|750ml|75.45
The Glenlivet French Oak Reserve 15 Year|750ml|105.95
The Glenlivet Founder's Reserve|750ml|74.95
The Glenlivet Founder's Reserve|1.14L|104.95
The Glenlivet Founder's Reserve|1.75L|144.95
J & B Rare Scotch Whisky|750ml|32.45
J & B Rare Scotch Whisky|1.14L|47.95
Whyte & Mackay Special Blend|1.14L|42.95
The Famous Grouse|1.14L|46.95
Bell's Original Scotch Whisky|750ml|29.95
Jura Seven Wood Whisky|750ml|99.95
The Singleton Of Dufftown 12 Year Single Malt|750ml|62.95
Glenmorangie Lasanta Extra Matured Single Malt|750ml|100.25
Glenmorangie Quinta Ruban Whisky|750ml|104.45
Glenmorangie Lasanta 15 Year|750ml|118.95
Glenmorangie Original Single Malt|750ml|70.70
Aberfeldy 12 Year|750ml|74.95
Clynelish 14 Year Single Malt|750ml|99.95
Clynelish 10 Year Whisky|750ml|241.35
Teacher's Highland|750ml|29.95
Oban Little Bay Single Malt|750ml|99.95
Oban 14 Year Single Malt|750ml|169.95
Dalwhinnie 15 Year Single Highland|750ml|124.95
Deanston Virgin Oak|750ml|54.95
Loch Lomond 12 Year|750ml|79.95
Teaninich 8 Year|750ml|145.95
Tamnavulin Double Cask|750ml|53.95
Cragganmore 12 Year Whisky|750ml|99.95
McClelland's Speyside Single Malt|750ml|49.95
McClelland's Islay Single Malt|750ml|51.85
Craigellachie 13 Year Single Malt|750ml|79.95
Glendronach 12 Year Highland|750ml|99.95
Glengoyne 10 Year Single Highland|750ml|79.85
Tomatin Legacy Single Malt|750ml|69.75
Tomatin 12 Year Single Malt|750ml|89.95
Royal Lochnagar 12 Year|700ml|99.95
Glen Garioch Founder's Reserve Single Malt|750ml|89.95
Lagavulin 8 Year Islay Single Malt|750ml|109.95
Lagavulin 16 Year Islay Single Malt|750ml|174.95
Bruichladdich The Classic Laddie|750ml|74.95
Bunnahabhain 12 Year Islay Single Malt|750ml|97.80
Dun Bheagan Islay Single Malt|750ml|61.00
Ardbeg Wee Beastie 5 Year|750ml|90.70
Ardbeg 10 Year Islay Scotch|750ml|120.25
Ardbeg Corryvreckan Islay Single Malt|750ml|238.20
Jura Origin 10 Year Single Malt|750ml|64.95
Jura 12 Year Single Malt|750ml|69.95
Kilchoman Machir Bay Islay Single Malt|750ml|100.45
Highland Park Viking Honour 12 Year|750ml|89.95
Highland Park 18 Year Single Malt|750ml|299.95
Robert Burns Arran Single Malt|700ml|73.45
Glenkinchie 12 Year Lowland Single Malt|750ml|95.95
Glen Scotia Double Cask Single Malt|750ml|79.35
Glen Scotia Campbeltown Harbour Single Malt|750ml|79.95
The Balvenie 12 Year Double Wood|750ml|134.95
The Balvenie Caribbean Cask 14 Year|750ml|189.95
Balvenie 14 Week Of Peat Whisky|750ml|249.10
Aberlour 12 Year Single Malt|750ml|93.25
Aberlour A'Bunadh Scotch Whisky|750ml|145.95
Aberlour 16 Year Single Malt|750ml|154.95
Aberlour A'Bunadh Alba Whisky|750ml|160.30
The Macallan 12 Year Double Cask|375ml|80.05
The Macallan 15 Year Double Cask|750ml|344.95
The Macallan Rare Cask|750ml|699.95
The Macallan Classic Cut 2023|750ml|194.85
The Macallan Sherry Oak 12 Year|750ml|199.90
The Macallan Double Cask 12 Year|750ml|149.95
Glenfarclas 12 Year Single Malt|700ml|127.55
Glenfarclas 105 Cask Strength Single Malt|700ml|166.90
Glenfarclas 15 Year Single Malt|700ml|189.90
Glenfiddich 12 Year Single Malt|375ml|44.95
Glenfiddich 12 Year Single Malt|750ml|76.95
Glenfiddich 12 Year Single Malt|1.14L|118.95
Glenfiddich 14 Year Bourbon Barrel Reserve|750ml|102.95
Glenfiddich 15 Year Single Malt|750ml|119.95
Glenfiddich 16 Year Aston Martin F1 Limited Edition|700ml|179.90
Glenfiddich Gran Reserva 21 Year Single Malt|750ml|429.95
The Dalmore 12 Year Single Malt|750ml|109.95
Dalmore Port Wood Whisky|750ml|139.95
Dalmore Cigar Malt Reserve Single Malt|750ml|209.95
Laphroaig Select Islay Single Malt|750ml|64.95
Laphroaig 10 Year Islay Single Malt|750ml|99.95
Laphroaig Quarter Cask Islay Single Malt|750ml|110.20
Laphroaig Lore Islay Single Malt|750ml|239.95
Bowmore 12 Year|750ml|65.95
Bowmore 15 Year Single Malt|750ml|131.95
Bowmore 15 Year Sherry Cask|700ml|169.95
Talisker Skye Whisky|700ml|89.95
Talisker Storm Single Malt|750ml|99.95
Talisker Distillers Edition Single Malt|750ml|140.25
Talisker 10 Year Single Malt|750ml|109.95
Talisker Port Ruighe Whisky|700ml|129.95
Auchentoshan 12 Year Single Malt|750ml|69.95
Auchentoshan American Oak Single Malt|750ml|62.95
Auchentoshan Three Wood Lowland Single Malt|750ml|84.95
#Spirits|Japanese & International Whisky|Liquor Store
Hibiki Harmony Whisky|750ml|154.30
Toki Whisky|750ml|65.95
Nikka From The Barrel Whisky|500ml|59.95
Nikka Miyagikyo Single Malt|700ml|94.95
Kujira Ryukyu Whisky 5 Year|700ml|89.25
Suntory World Whisky AO|700ml|94.95
Yoichi Single Malt 10 Year|700ml|188.20
Heriose Whisky Petit Tourbe|700ml|121.35
Yokaichi Barley Mugi Honkaku Shochu|720ml|44.60
Tenjaku Japanese Whisky|750ml|79.95
Royal Challenge Spirit Whisky|750ml|32.40
Amrut Fusion Single Malt Whisky|700ml|91.50
Rampur Barrel Blush Single Malt Indian Whisky|750ml|101.95
#Spirits|Tequila Blanco|Liquor Store
Hornitos Plata Tequila|750ml|37.75
Los Arango Blanco Tequila|750ml|59.95
Espolon Tequila Blanco|750ml|45.00
818 Tequila Blanco|750ml|64.95
Siempre Tequila Plata|750ml|66.80
Cazadores Blanco Tequila|750ml|39.95
Tres Agaves Tequila Blanco|750ml|69.55
El Jimador Tequila Blanco|750ml|41.50
Herradura Silver Tequila|750ml|73.95
Alida Tequila|750ml|54.95
Flecha Azul Blanco Tequila|750ml|78.60
Pantalones Tequila Blanco|750ml|72.35
Tres Generaciones Plata Tequila|750ml|74.95
Cada Dia Tequila Plata|750ml|59.95
Casa Dragones Blanco Tequila|750ml|153.95
Cincoro Tequila Blanco|750ml|150.20
Dos Primos Tequila Blanco|750ml|88.20
Contraluz Cristalino Mezcal Tequila|700ml|99.95
Illegal Mezcal Joven Tequila|750ml|62.95
Casamigos Mezcal Tequila|750ml|85.95
Milagro Silver Tequila|750ml|45.95
Jose Cuervo Especial Silver Tequila|750ml|39.95
Jose Cuervo Especial Silver Tequila|1.14L|56.95
Jose Cuervo Tradicional Plata Tequila|750ml|41.95
Don Julio Blanco Tequila|750ml|89.95
Don Julio 70th Tequila|750ml|119.95
Tromba Tequila Blanco|200ml|15.95
Tromba Tequila Blanco|750ml|49.95
Teremana Tequila Blanco|375ml|31.95
Teremana Tequila Blanco|750ml|58.95
Olmeca Altos Plata Tequila|375ml|27.00
Olmeca Altos Plata Tequila|750ml|47.95
Sauza Silver Tequila|375ml|20.95
Sauza Silver Tequila|750ml|36.95
Sauza Silver Tequila|1.14L|52.95
Sauza Blue Blanco 100% Agave Tequila|750ml|39.95
Casamigos Blanco Tequila|375ml|43.95
Casamigos Blanco Tequila|750ml|71.95
Casamigos Blanco Tequila|1.75L|185.95
1800 Blanco Tequila|375ml|25.45
1800 Blanco Tequila|750ml|44.95
1800 Coconut Tequila|750ml|45.05
Patron Silver Tequila|50ml|11.15
Patron Silver Tequila|375ml|44.95
Patron Silver Tequila|750ml|75.95
Patron El Cielo Tequila|700ml|124.75
#Spirits|Tequila Reposado|Liquor Store
1800 Reposado Tequila|750ml|43.95
Cazadores Reposado Tequila|750ml|43.95
Los Arango Reposado Tequila|750ml|64.95
Don Julio Reposado Tequila|750ml|94.95
Espolon Reposado Tequila|750ml|49.00
Teremana Reposado Tequila|750ml|58.95
El Jimador Reposado Tequila|750ml|43.50
Don Adriano 1950 Reposado Tequila|750ml|119.10
818 Reposado Tequila|750ml|74.95
Catrina Reposado Tequila|750ml|93.95
Tromba Reposado Tequila|750ml|64.95
Lobos 1707 Reposado Tequila|750ml|87.50
Herradura Reposado Tequila|750ml|79.95
Familia Camarena Reposado Tequila|750ml|68.45
Patron Reposado Tequila|375ml|44.95
Patron Reposado Tequila|750ml|89.95
Olmeca Gold Tequila|1.14L|55.45
Olmeca Altos Reposado Tequila|750ml|49.95
Jose Cuervo Especial Gold Tequila|200ml|13.45
Jose Cuervo Especial Gold Tequila|375ml|23.25
Jose Cuervo Especial Gold Tequila|750ml|39.95
Jose Cuervo Especial Gold Tequila|1.14L|56.95
Jose Cuervo Gold Tequila|1.75L|76.45
Jose Cuervo Tradicional Reposado Tequila|750ml|42.95
Sauza Gold Tequila|200ml|12.45
Sauza Gold Tequila|750ml|36.95
Sauza Gold Tequila|1.14L|48.95
Hornitos Reposado Tequila|200ml|14.95
Hornitos Reposado Tequila|375ml|27.90
Hornitos Reposado Tequila|750ml|41.75
Casamigos Reposado Tequila|375ml|47.95
Casamigos Reposado Tequila|750ml|85.05
Casamigos Reposado Tequila|1.75L|189.95
#Spirits|Tequila Anejo|Liquor Store
Herradura Ultra Anejo Tequila|750ml|99.75
Olmeca Altos Anejo Tequila|750ml|59.95
Don Julio Anejo Tequila|750ml|109.95
Espolon Anejo Tequila|750ml|55.20
Casamigos Anejo Tequila|750ml|94.95
1800 Anejo Tequila|750ml|58.45
Maestro Dobel Tequila|750ml|69.95
Gran Centenario Anejo Tequila|750ml|52.45
Cazadores Anejo Tequila|750ml|49.95
Patron El Alto Tequila|50ml|19.55
Patron Anejo Tequila|375ml|54.95
Patron Anejo Tequila|750ml|99.95
Don Julio 1942 Tequila|50ml|25.00
Don Julio 1942 Anejo Tequila|750ml|319.95
#Spirits|Vodka|Liquor Store
Mikolash The Farmer Vodka|700ml|45.75
Dutch Barn Orchard Vodka|700ml|49.85
Dealers Choice Vodka|200ml|9.85
Reid's Vodka|750ml|39.95
Silent Sam Vodka|1.14L|46.85
Jatt Life Vodka|700ml|49.95
Rock & Union Spirits 80 Proof Vodka|750ml|35.95
Mailroom Premium Vodka|750ml|33.95
Mighty Moose Canadian Vodka|750ml|32.95
Ren Ultra Premium Vodka|750ml|49.95
Wayne Gretzky No. 99 Ice Storm Vodka|750ml|30.95
Dirty Devil Vodka|750ml|39.75
Haku Vodka|750ml|48.70
Chopin Potato Vodka|750ml|53.15
Dillon's Vodka|750ml|32.95
Beatties Farm Crafted Potato Vodka|750ml|35.15
Loon Vodka|750ml|47.05
Spirytus Gdanski 76|700ml|48.95
Wyborowa Vodka|1.14L|45.95
Nemiroff Vodka|750ml|35.55
Northern Keep Vodka|750ml|33.95
Vodkow Vodka|750ml|36.20
Resident Vodka|750ml|40.95
Phoenix Ultra Smooth Vodka|750ml|31.50
Grizzly Vodka|750ml|31.15
Ketel One Vodka|375ml|20.05
Ketel One Vodka|750ml|33.55
Ketel One Vodka|1.14L|53.15
Ketel One Vodka|1.75L|73.20
Absolut Vodka|50ml|4.00
Absolut Vodka|200ml|9.95
Absolut Vodka|375ml|18.45
Absolut Vodka|750ml|31.95
Absolut Vodka|1.14L|45.85
Absolut Vodka|1.75L|69.95
Absolut Haring Vodka|750ml|31.95
Absolut Elyx Vodka|750ml|50.95
Absolut Rainbow Edition|750ml|31.50
Grey Goose Vodka|200ml|17.95
Grey Goose Vodka|375ml|27.95
Grey Goose Vodka|750ml|47.95
Grey Goose Vodka|1.14L|74.95
Grey Goose Vodka|1.75L|109.95
Grey Goose Vodka|3L|249.55
Polar Ice Vodka|200ml|9.95
Polar Ice Vodka|375ml|17.45
Polar Ice Vodka|750ml|30.95
Polar Ice Vodka|1.14L|46.90
Iceberg Vodka|200ml|9.90
Iceberg Vodka|375ml|16.95
Iceberg Vodka|750ml|30.95
